,userId,movieId,rating,timestamp,title,genres,KID,year,decade,count,mean
0,1,1,4.0,964982703,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,YES,1995,1990,215,3.9209302325581397
21,1,362,5.0,964982588,"Jungle Book, The (1994)",Adventure|Children|Romance,YES,1994,1990,34,3.5294117647058822
35,1,596,5.0,964982838,Pinocchio (1940),Animation|Children|Fantasy|Musical,YES,1940,1930,60,3.45
38,1,661,5.0,964982838,James and the Giant Peach (1996),Adventure|Animation|Children|Fantasy|Musical,YES,1996,1990,49,3.4489795918367347
39,1,673,3.0,964981775,Space Jam (1996),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi,YES,1996,1990,53,2.707547169811321
44,1,919,5.0,964982475,"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical,YES,1939,1930,92,3.880434782608696
49,1,1009,3.0,964981775,Escape to Witch Mountain (1975),Adventure|Children|Fantasy,YES,1975,1970,9,3.0555555555555554
50,1,1023,5.0,964982681,Winnie the Pooh and the Blustery Day (1968),Animation|Children|Musical,YES,1968,1960,13,3.6153846153846154
51,1,1024,5.0,964982876,"Three Caballeros, The (1945)",Animation|Children|Musical,YES,1945,1940,6,3.6666666666666665
52,1,1025,5.0,964982791,"Sword in the Stone, The (1963)",Animation|Children|Fantasy|Musical,YES,1963,1960,25,3.58
53,1,1029,5.0,964982855,Dumbo (1941),Animation|Children|Drama|Musical,YES,1941,1940,35,3.3857142857142857
54,1,1030,3.0,964982903,Pete's Dragon (1977),Adventure|Animation|Children|Musical,YES,1977,1970,15,2.7666666666666666
55,1,1031,5.0,964982653,Bedknobs and Broomsticks (1971),Adventure|Children|Musical,YES,1971,1970,24,3.4791666666666665
56,1,1032,5.0,964982791,Alice in Wonderland (1951),Adventure|Animation|Children|Fantasy|Musical,YES,1951,1950,40,3.375
60,1,1073,5.0,964981680,Willy Wonka & the Chocolate Factory (1971),Children|Comedy|Fantasy|Musical,YES,1971,1970,119,3.8739495798319328
65,1,1097,5.0,964981680,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi,YES,1982,1980,122,3.7663934426229506
88,1,1282,5.0,964982703,Fantasia (1940),Animation|Children|Fantasy|Musical,YES,1940,1930,53,3.7830188679245285
113,1,1920,4.0,964981780,Small Soldiers (1998),Animation|Children|Fantasy|War,YES,1998,1990,18,2.8333333333333335
118,1,2005,5.0,964981710,"Goonies, The (1985)",Action|Adventure|Children|Comedy|Fantasy,YES,1985,1980,57,3.5701754385964914
120,1,2018,5.0,964980523,Bambi (1942),Animation|Children|Drama,YES,1942,1940,38,3.3684210526315788
122,1,2033,5.0,964982903,"Black Cauldron, The (1985)",Adventure|Animation|Children|Fantasy,YES,1985,1980,8,3.75
123,1,2046,4.0,964982563,Flight of the Navigator (1986),Adventure|Children|Sci-Fi,YES,1986,1980,24,3.2083333333333335
124,1,2048,5.0,964982791,"Great Mouse Detective, The (1986)",Action|Animation|Children|Crime,YES,1986,1980,8,3.5625
125,1,2054,4.0,964981747,"Honey, I Shrunk the Kids (1989)",Adventure|Children|Comedy|Fantasy|Sci-Fi,YES,1989,1980,68,2.7573529411764706
